Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220pF,C_0805,172.466,-76.327,-90,T
C2,1uF,C_0805,169.291,-71.628,0,T
C3,10uF,C_1210,162.941,-75.057,90,T
C4,22uF,C_1210,162.941,-80.137,-90,T
C5,0.1uF,C_0805,156.337,-83.693,180,T
C6,0.1uF,C_0805,160.147,-83.693,180,T
C7,0.1uF,C_0805,163.195,-71.501,180,T
C8,0.1uF,C_0805,169.291,-73.914,180,T
D1,1N5819,D_SOD-123,153.924,-67.183,90,T
D2,1N4148,D_SOD-123,170.815,-67.818,-90,T
D3,SMAJ20A,D_SMA,156.845,-65.024,90,T
R1,4.7k,R_0805,167.767,-83.312,180,T
R2,1k,R_0805,172.466,-72.39,-90,T
R3,4.7k,R_0805,171.577,-83.312,0,T
U3,TLIN1027DRQ1,SOIC-8,168.656,-78.613,90,T
